EquipmentName,MaxLength,CampsiteID
Trailer,35,10009009
VEHICLE,35,10009009
Boat,32,10007792
CAR,32,10007792
Trailer,32,10007792
VEHICLE,32,10007792
Tent,8,10007792
Boat,32,10009023
CAR,32,10009023
RV,32,10009023
Tent,0,10009023
Trailer,32,10009023
VEHICLE,32,10009023
Boat,25,10008988
CAR,25,10008988
RV,25,10008988
Tent,0,10008988
Trailer,25,10008988
VEHICLE,25,10008988
CAR,10,10007766
Tent,8,10007766
VEHICLE,10,10007766
Boat,32,10007804
CAR,32,10007804
LARGE TENT OVER 9X12`,10,10007804
Tent,10,10007804
Trailer,32,10007804
VEHICLE,32,10007804
Boat,32,10009020
CAR,32,10009020
RV,32,10009020
Tent,0,10009020
Trailer,32,10009020
VEHICLE,32,10009020
Boat,32,10007796
CAR,32,10007796
Tent,8,10007796
Trailer,32,10007796
VEHICLE,32,10007796
CAR,10,10007769
LARGE TENT OVER 9X12`,12,10007769
Tent,12,10007769
VEHICLE,10,10007769
Boat,32,10009028
CAR,32,10009028
RV,32,10009028
Tent,0,10009028
Trailer,32,10009028
VEHICLE,32,10009028
Boat,32,10007813
CAR,32,10007813
Tent,8,10007813
Trailer,32,10007813
VEHICLE,32,10007813
Boat,32,10007791
CAR,32,10007791
Tent,8,10007791
Trailer,32,10007791
VEHICLE,32,10007791
Boat,32,10007820
CAR,32,10007820
Tent,6,10007820
Trailer,32,10007820
VEHICLE,32,10007820
CAR,10,10008968
Tent,0,10008968
VEHICLE,10,10008968
Boat,32,10009026
CAR,32,10009026
RV,32,10009026
Tent,0,10009026
Trailer,32,10009026
VEHICLE,32,10009026
Boat,32,10008985
CAR,32,10008985
RV,32,10008985
Tent,0,10008985
Trailer,32,10008985
VEHICLE,32,10008985
CAR,10,10007767
LARGE TENT OVER 9X12`,10,10007767
Tent,10,10007767
VEHICLE,10,10007767
Boat,20,10008965
CAR,20,10008965
RV,20,10008965
Tent,0,10008965
Trailer,20,10008965
VEHICLE,20,10008965
Boat,32,10009015
CAR,32,10009015
RV,32,10009015
Tent,0,10009015
Trailer,32,10009015
VEHICLE,32,10009015
CAR,10,10008970
Tent,0,10008970
VEHICLE,10,10008970
Boat,30,10008998
CAR,30,10008998
RV,30,10008998
Tent,0,10008998
Trailer,30,10008998
VEHICLE,30,10008998
Boat,32,10008964
CAR,32,10008964
RV,32,10008964
Tent,0,10008964
Trailer,32,10008964
VEHICLE,32,10008964
CAR,10,10008967
Tent,0,10008967
VEHICLE,10,10008967
Boat,20,10007764
CAR,20,10007764
LARGE TENT OVER 9X12`,10,10007764
Tent,10,10007764
Trailer,20,10007764
VEHICLE,20,10007764
Tent,0,10008995
RV,32,10008995
Trailer,32,10008995
Boat,32,10008995
CAR,32,10008995
VEHICLE,32,10008995
Trailer,20,10007784
Boat,20,10007784
CAR,20,10007784
VEHICLE,20,10007784
Tent,12,10007784
Boat,32,10009031
CAR,32,10009031
RV,32,10009031
Tent,0,10009031
Trailer,32,10009031
VEHICLE,32,10009031
Boat,32,10009021
CAR,32,10009021
RV,32,10009021
Tent,0,10009021
Trailer,32,10009021
VEHICLE,32,10009021
Boat,20,10007765
CAR,20,10007765
LARGE TENT OVER 9X12`,10,10007765
Tent,10,10007765
Trailer,20,10007765
VEHICLE,20,10007765
Boat,32,10007829
Tent,8,10007829
Trailer,32,10007829
VEHICLE,32,10007829
CAR,32,10007829
Boat,32,10007812
CAR,32,10007812
LARGE TENT OVER 9X12`,10,10007812
Tent,10,10007812
Trailer,32,10007812
VEHICLE,32,10007812
CAR,10,10008969
Tent,0,10008969
VEHICLE,10,10008969
Boat,32,10009018
CAR,32,10009018
RV,32,10009018
Tent,0,10009018
Trailer,32,10009018
VEHICLE,32,10009018
Boat,32,10007819
Tent,8,10007819
Trailer,32,10007819
VEHICLE,32,10007819
CAR,32,10007819
Boat,32,10009008
CAR,32,10009008
RV,32,10009008
Tent,0,10009008
Trailer,32,10009008
VEHICLE,32,10009008
Boat,20,10007777
CAR,20,10007777
LARGE TENT OVER 9X12`,10,10007777
Tent,10,10007777
Trailer,20,10007777
VEHICLE,20,10007777
Boat,30,10008996
CAR,30,10008996
RV,30,10008996
Tent,0,10008996
Trailer,30,10008996
VEHICLE,30,10008996
Tent,0,10008989
RV,25,10008989
Trailer,25,10008989
Boat,25,10008989
CAR,25,10008989
VEHICLE,25,10008989
Tent,0,10008979
RV,32,10008979
Trailer,32,10008979
Boat,32,10008979
CAR,32,10008979
VEHICLE,32,10008979
Boat,40,10009000
CAR,40,10009000
RV,40,10009000
Tent,0,10009000
Trailer,40,10009000
VEHICLE,40,10009000
Boat,25,10008990
CAR,25,10008990
RV,25,10008990
Tent,0,10008990
Trailer,25,10008990
VEHICLE,25,10008990
Boat,32,10009017
CAR,32,10009017
RV,32,10009017
Tent,0,10009017
Trailer,32,10009017
VEHICLE,32,10009017
Boat,32,10007806
CAR,32,10007806
Tent,8,10007806
Trailer,32,10007806
VEHICLE,32,10007806
Boat,30,10008982
CAR,30,10008982
RV,30,10008982
Tent,0,10008982
Trailer,30,10008982
VEHICLE,30,10008982
Boat,32,10007795
CAR,32,10007795
Tent,8,10007795
Trailer,32,10007795
VEHICLE,32,10007795
Boat,32,10009019
CAR,32,10009019
RV,32,10009019
Tent,0,10009019
Trailer,32,10009019
VEHICLE,32,10009019
CAR,10,10007772
LARGE TENT OVER 9X12`,10,10007772
Tent,10,10007772
VEHICLE,10,10007772
Tent,10,10007781
Trailer,20,10007781
Boat,20,10007781
CAR,20,10007781
VEHICLE,20,10007781
Boat,32,10008976
CAR,32,10008976
RV,32,10008976
Tent,0,10008976
Trailer,32,10008976
VEHICLE,32,10008976
Boat,32,10009030
CAR,32,10009030
RV,32,10009030
Tent,0,10009030
Trailer,32,10009030
VEHICLE,32,10009030
Boat,35,10009006
CAR,35,10009006
RV,35,10009006
Tent,0,10009006
Trailer,35,10009006
VEHICLE,35,10009006
Boat,32,10007790
CAR,32,10007790
Tent,8,10007790
Trailer,32,10007790
VEHICLE,32,10007790
Boat,32,10007810
CAR,32,10007810
Tent,8,10007810
Trailer,32,10007810
VEHICLE,32,10007810
Boat,32,10007827
CAR,32,10007827
Tent,8,10007827
Trailer,32,10007827
VEHICLE,32,10007827
Boat,45,10009013
CAR,45,10009013
RV,45,10009013
Tent,0,10009013
Trailer,45,10009013
VEHICLE,45,10009013
Boat,32,10009024
CAR,32,10009024
RV,32,10009024
Tent,0,10009024
Trailer,32,10009024
VEHICLE,32,10009024
CAR,10,10007787
LARGE TENT OVER 9X12`,10,10007787
Tent,10,10007787
VEHICLE,10,10007787
Tent,0,10008980
RV,32,10008980
Trailer,32,10008980
Boat,32,10008980
CAR,32,10008980
VEHICLE,32,10008980
Boat,32,10007789
CAR,32,10007789
Tent,6,10007789
Trailer,32,10007789
VEHICLE,32,10007789
Boat,25,10008993
CAR,25,10008993
RV,25,10008993
Tent,0,10008993
Trailer,25,10008993
VEHICLE,25,10008993
Boat,32,10007815
CAR,32,10007815
Tent,8,10007815
Trailer,32,10007815
VEHICLE,32,10007815
Boat,20,10007783
CAR,20,10007783
Tent,6,10007783
Trailer,20,10007783
VEHICLE,20,10007783
Boat,45,10009012
CAR,45,10009012
RV,45,10009012
Tent,0,10009012
Trailer,45,10009012
VEHICLE,45,10009012
Tent,0,10008978
RV,32,10008978
Trailer,32,10008978
Boat,32,10008978
CAR,32,10008978
